TABLE,Region NewtonInexato_Hessiana_10,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],4.234851e-05,
Runtime unhalted [s],0.0004,
DP [MFLOP/s],85.5048,
CPI,3.6066,
CPI (based on uops),2.6749,
IPC,0.2773,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_SL_10,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000390,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,2048936
CPU_CLOCKS_UNHALTED,PMC1,2780442
RETIRED_UOPS,PMC2,2248000
RETIRED_FLOPS_DOUBLE_ALL,PMC3,324258
TABLE,Region NewtonInexato_SL_10,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0008,
DP [MFLOP/s],830.7370,
CPI,1.3570,
CPI (based on uops),1.2369,
IPC,0.7369,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_32,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.021885,
call count,1,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,6933993
CPU_CLOCKS_UNHALTED,PMC1,11441020
RETIRED_UOPS,PMC2,7917281
RETIRED_FLOPS_DOUBLE_ALL,PMC3,1236696
TABLE,Region NewtonPadrao_32,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0219,
Runtime unhalted [s],0.0033,
DP [MFLOP/s],56.5086,
CPI,1.6500,
CPI (based on uops),1.4451,
IPC,0.6061,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_Gradiente_32,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000017,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,331958
CPU_CLOCKS_UNHALTED,PMC1,1394389
RETIRED_UOPS,PMC2,477259
RETIRED_FLOPS_DOUBLE_ALL,PMC3,17799
TABLE,Region NewtonPadrao_Gradiente_32,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],1.684798e-05,
Runtime unhalted [s],0.0004,
DP [MFLOP/s],1056.4471,
CPI,4.2005,
CPI (based on uops),2.9217,
IPC,0.2381,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_Hessiana_32,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000268,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,1757923
CPU_CLOCKS_UNHALTED,PMC1,2321733
RETIRED_UOPS,PMC2,1954311
RETIRED_FLOPS_DOUBLE_ALL,PMC3,11475
TABLE,Region NewtonPadrao_Hessiana_32,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0003,
Runtime unhalted [s],0.0007,
DP [MFLOP/s],42.8657,
CPI,1.3207,
CPI (based on uops),1.1880,
IPC,0.7572,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_SL_32,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000620,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,4001412
CPU_CLOCKS_UNHALTED,PMC1,3587403
RETIRED_UOPS,PMC2,4223116
RETIRED_FLOPS_DOUBLE_ALL,PMC3,1190952
TABLE,Region NewtonPadrao_SL_32,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0006,
Runtime unhalted [s],0.0010,
DP [MFLOP/s],1921.2538,
CPI,0.8965,
CPI (based on uops),0.8495,
IPC,1.1154,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_32,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.025533,
call count,1,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,17658820
CPU_CLOCKS_UNHALTED,PMC1,22689230
RETIRED_UOPS,PMC2,18722760
RETIRED_FLOPS_DOUBLE_ALL,PMC3,3293743
TABLE,Region NewtonInexato_32,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0255,
Runtime unhalted [s],0.0065,
DP [MFLOP/s],129.0012,
CPI,1.2849,
CPI (based on uops),1.2119,
IPC,0.7783,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_Gradiente_32,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000017,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,332366
CPU_CLOCKS_UNHALTED,PMC1,1455274
RETIRED_UOPS,PMC2,477667
RETIRED_FLOPS_DOUBLE_ALL,PMC3,17799
TABLE,Region NewtonInexato_Gradiente_32,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],1.737366e-05,
Runtime unhalted [s],0.0004,
DP [MFLOP/s],1024.4819,
CPI,4.3785,
CPI (based on uops),3.0466,
IPC,0.2284,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_Hessiana_32,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000265,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,1758940
CPU_CLOCKS_UNHALTED,PMC1,2335450
