RETIRED_INSTRUCTIONS,PMC0,2132855
CPU_CLOCKS_UNHALTED,PMC1,1376772
L3_ACCESS,CPMC0,72943
L3_MISS,CPMC1,12015
TABLE,Region NewtonInexato_Gradiente_1000,Group 1 Metric,L3,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0027,
Clock [MHz],4153.0747,
CPI,0.6455,
L3 access bandwidth [MBytes/s],42118.4298,
L3 access data volume [GBytes],0.0047,
L3 access rate [%],3.4200,
L3 miss rate [%],0.5633,
L3 miss ratio [%],16.4718,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892644371 GHz,
TABLE,Region NewtonInexato_Hessiana_1000,Group 1 Raw,L3,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.130894,
call count,51,
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,552130300
MAX_CPU_CLOCK,FIXC2,520169200
RETIRED_INSTRUCTIONS,PMC0,1581503000
CPU_CLOCKS_UNHALTED,PMC1,535319900
L3_ACCESS,CPMC0,9212333
L3_MISS,CPMC1,720294
TABLE,Region NewtonInexato_Hessiana_1000,Group 1 Metric,L3,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1309,
Runtime unhalted [s],0.1418,
Clock [MHz],4131.8227,
CPI,0.3385,
L3 access bandwidth [MBytes/s],4504.3231,
L3 access data volume [GBytes],0.5896,
L3 access rate [%],0.5825,
L3 miss rate [%],0.0455,
L3 miss ratio [%],7.8188,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892644371 GHz,
TABLE,Region NewtonInexato_SL_1000,Group 1 Raw,L3,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.503200,
call count,51,
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,2094149000
MAX_CPU_CLOCK,FIXC2,1970918000
RETIRED_INSTRUCTIONS,PMC0,4701069000
CPU_CLOCKS_UNHALTED,PMC1,2077568000
L3_ACCESS,CPMC0,340356700
L3_MISS,CPMC1,4740623
TABLE,Region NewtonInexato_SL_1000,Group 1 Metric,L3,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.5032,
Runtime unhalted [s],0.5380,
Clock [MHz],4136.0307,
CPI,0.4419,
L3 access bandwidth [MBytes/s],43288.5761,
L3 access data volume [GBytes],21.7828,
L3 access rate [%],7.2400,
L3 miss rate [%],0.1008,
L3 miss ratio [%],1.3928,
