Region Info,HWThread 3,
RDTSC Runtime [s],0.000022,
call count,51,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,409780
CPU_CLK_UNHALTED_CORE,FIXC1,582944
CPU_CLK_UNHALTED_REF,FIXC2,435963
L2_LINES_IN_ALL,PMC0,16811
L2_TRANS_L2_WB,PMC1,2658
TABLE,Region NewtonInexato_Gradiente_128,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],2.177641e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],3882.7306,
CPI,1.4226,
L3 load bandwidth [MBytes/s],49406.8582,
L3 load data volume [GBytes],0.0011,
L3 evict bandwidth [MBytes/s],7811.7559,
L3 evict data volume [GBytes],0.0002,
L3 bandwidth [MBytes/s],57218.6141,
L3 data volume [GBytes],0.0012,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903755536 GHz,
TABLE,Region NewtonInexato_Hessiana_128,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.002047,
call count,51,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,24509200
CPU_CLK_UNHALTED_CORE,FIXC1,8166532
CPU_CLK_UNHALTED_REF,FIXC2,6098400
L2_LINES_IN_ALL,PMC0,131509
L2_TRANS_L2_WB,PMC1,29967
TABLE,Region NewtonInexato_Hessiana_128,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0020,
Runtime unhalted [s],0.0028,
Clock [MHz],3888.4974,
CPI,0.3332,
L3 load bandwidth [MBytes/s],4111.2743,
L3 load data volume [GBytes],0.0084,
L3 evict bandwidth [MBytes/s],936.8374,
L3 evict data volume [GBytes],0.0019,
L3 bandwidth [MBytes/s],5048.1117,
L3 data volume [GBytes],0.0103,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903755536 GHz,
TABLE,Region NewtonInexato_SL_128,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.026915,
call count,51,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,213507300
CPU_CLK_UNHALTED_CORE,FIXC1,100699600
CPU_CLK_UNHALTED_REF,FIXC2,75158910
L2_LINES_IN_ALL,PMC0,262550
L2_TRANS_L2_WB,PMC1,41114
TABLE,Region NewtonInexato_SL_128,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0269,
Runtime unhalted [s],0.0347,
Clock [MHz],3890.5171,
CPI,0.4716,
L3 load bandwidth [MBytes/s],624.3001,
L3 load data volume [GBytes],0.0168,
L3 evict bandwidth [MBytes/s],97.7622,
L3 evict data volume [GBytes],0.0026,
L3 bandwidth [MBytes/s],722.0624,
L3 data volume [GBytes],0.0194,
