CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892645545 GHz,
TABLE,Region NewtonInexato_Hessiana_1000,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.126179,
call count,51,
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,536702400
MAX_CPU_CLOCK,FIXC2,502891900
RETIRED_INSTRUCTIONS,PMC0,1581762000
CPU_CLOCKS_UNHALTED,PMC1,524371000
RETIRED_SSE_AVX_FLOPS_ALL,PMC2,357153
MERGE,PMC3,0
TABLE,Region NewtonInexato_Hessiana_1000,Group 1 Metric,FLOPS_DP,5
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1262,
Runtime unhalted [s],0.1379,
Clock [MHz],4154.3564,
CPI,0.3315,
DP [MFLOP/s],2.8305,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892645545 GHz,
TABLE,Region NewtonInexato_SL_1000,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],1.164499,
call count,51,
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,4857211000
MAX_CPU_CLOCK,FIXC2,4547855000
RETIRED_INSTRUCTIONS,PMC0,12702240000
CPU_CLOCKS_UNHALTED,PMC1,4834124000
RETIRED_SSE_AVX_FLOPS_ALL,PMC2,3164008000
MERGE,PMC3,0
TABLE,Region NewtonInexato_SL_1000,Group 1 Metric,FLOPS_DP,5
Metric,HWThread 3,
Runtime (RDTSC) [s],1.1645,
Runtime unhalted [s],1.2478,
Clock [MHz],4157.4326,
CPI,0.3806,
DP [MFLOP/s],2717.0551,
